Restaurant Name,City,Comment,Cuisine Type,Price,Rating,URL,Visited
The Table,Mumbai,"One of the best restaurants in town. tried the onion lyon soup (tarty flavour, had a freshly baked layer of bread on the top - took 18 mins to cook), lamb ribs (sweet sauce, probably reduced red wine - went excellent with the perfectly cooked ribs and foccacia), truffle fries, kashmiri morel risotto (has a parmesan mousse around in, had a beautiful texture), warm foccacia, corn fritters, tiramisu and chocolate tart with chantilly cream and vanilla ice cream","American, Asian, French",$$$$,⭐⭐⭐⭐⭐,,Yes
Restaurants in Mumbai,Mumbai,,,,," https://www.instagram.com/reel/CrDqthBMZE_/?igshid=MzRlODBiNWFlZA==",No
Party places in Mumbai,Mumbai,,,,,https://www.instagram.com/reel/C16dHYFPQb5/?igsh=ZXpvd3dwN2Q1NTRj,No
New restaurants in Mumbai,Mumbai,,,,,https://www.instagram.com/reel/C3Xvm2qrytR/?igsh=MXcwZTlxcjE5eXRoeg==,No
Best Desserts 1,Mumbai,,,,,https://www.instagram.com/reel/C473R7kpitG/?igsh=MWtkMTVyNGlhOWh2Yw==,No
Best Desserts 2,Mumbai,,,,,https://www.instagram.com/reel/C2PcsUFoAww/?igsh=NWZvaHVieXFjMHN2,No
Asian in bandra,Mumbai,,,,,https://www.instagram.com/reel/CnycneVAqzp/?igshid=YmMyMTA2M2Y=,No
Mexican in churchgate,Mumbai,,,,," https://www.instagram.com/reel/CqKcN7cDVoG/?igshid=YmMyMTA2M2Y=",No
Best restaurants in Mumbai,Mumbai,,,,,https://www.instagram.com/reel/Cn3382-g_Sr/?igshid=YmMyMTA2M2Y=,No
Rooftop restaurant in Andheri,Mumbai,,,,,https://www.instagram.com/reel/CoZ_a0bIntp/?igshid=YmMyMTA2M2Y=,No
Pimlico,Pune,Old setup - food not so great - old school kinda of place,,,⭐⭐⭐,,Yes
Chafa,Pune,Healthy line of dishes - amazing vibe - cozy setup - insane desserts - great variety of food and cuisines,Cafe,,⭐⭐⭐⭐⭐,,Yes
French Window Patisserie,Pune,,"Bakery, Cafe",,⭐⭐⭐⭐,,Yes
Sassy Spoon,Pune,"Carefully curated menu - desserts and cocktails were good, good intimate ambience - amazing food","Bar, Italian",,⭐⭐⭐⭐⭐,,Yes
Great State Dive,Pune,"Good Kraft beer, but limited variety",Bar,,⭐⭐⭐,,Yes
All Day Daily,Pune,Amazing vibe - Good Italian food - aesthetic bas and setup - good cocktails great vibe,"American, Bar, Italian",,⭐⭐⭐⭐,,Yes
German Bakery,Pune,,Cafe,,⭐⭐⭐⭐,,Yes
Chaurahe Ka Paar,Pune,,Indian,,⭐⭐⭐,,Yes
Denny’s Waffles,Pune,,Bakery,,⭐⭐⭐⭐,,Yes
Elephant and Co,Pune,,"American, Bar, Italian",,⭐⭐⭐⭐⭐,,Yes
Effingut,Pune,,Bar,,⭐⭐⭐⭐,,Yes
Toscano’s,Pune,,Italian,,⭐⭐⭐⭐⭐,,Yes
Dhaba Shaba,Pune,,Indian,,⭐⭐⭐,,Yes
Murphies,Pune,,Bar,,⭐⭐⭐,,Yes
Retox,Pune,,Bar,,⭐⭐⭐,,Yes
Kwality,Pune,,Indian,,⭐⭐⭐⭐,,Yes
Moshi Moshi,Pune,,,,,,No
Talli,Pune,,,,,,No
Raasta,Pune,,,,,,No
High Spirits,Pune,,,,,,No
Boho Boho,Pune,,,,,https://www.instagram.com/reel/Cn6SBc6jOFb/?igshid=YmMyMTA2M2Y=,No
Santorini Hilton,Pune,,,,,https://www.instagram.com/reel/CoPcuE-MXrV/?igshid=YmMyMTA2M2Y=,No
"La cherie cheesecakes ",Pune,,Bakery,,⭐⭐⭐⭐,,Yes
Escada Pune,Pune,,,,,,No
Euphoria - Hilton,Pune,,,,,https://www.instagram.com/reel/Cn6rqA1IqZj/?igshid=YmMyMTA2M2Y=,No
Butter brews,Pune,,Cafe,,⭐⭐⭐⭐,,Yes
Supriya,Pune,"Amazing South Indian food, traditional conventional restaurant, kokum sharbat with Mysore masala dosa and dahi vade, uttapam looked delicious too",Street Food,,⭐⭐⭐⭐,,Yes
Cult terra,Pune,"Amazing Ambience, near mudhwa, might get lit on weekends, looked premium, bar looked great and risky",Bar,,⭐⭐⭐,,Yes
The unicorn house,Pune,,,,,,No
Penthouse,Pune,,,,,,No
"Elrow, Pune",Pune,,,,,,No
"Soy como soy ",Pune,,,,,https://instagram.com/soycomosoyindia?igshid=YmMyMTA2M2Y=,No
" Fyole Cafe",Pune,,,,,"https://www.instagram.com/reel/C345CyoiXXV/?igsh=azM2eHA1Y2g0Z2k1 ",No
Le palasir,Pune,,,,,https://www.instagram.com/reel/C-kftnWCJtp/,No
Ground Up,Pune,,,,,https://www.instagram.com/reel/C8r2eCUILTm/,No
Cafe Goodluck,Pune,,,,,https://www.instagram.com/reel/DBajrmYu6Td/,No
"Third Wave Coffee, Kalyani Nagar",Pune,,Cafe,,⭐⭐⭐,,Yes
The Flourworks,Pune,,Cafe,,⭐⭐⭐,,Yes
"TOIT, Pune",Pune,,Bar,,⭐⭐⭐⭐,,Yes
